id;Country;Name;Sector;;
;Germany;HAMBURG SCHULEN;Education;;
;Italy;BP EMILIA-ROMAGNA SME PG VIII;Credit lines;;
;Luxembourg;SENSING SOLUTIONS RDI (RSFF);Industry;;
;Luxembourg;SENSING SOLUTIONS RDI (RSFF);Industry;;
;Belgium;SOLVAY PHARMACEUTICALS R&D;Industry;;
;Italy;ADVANCED LOGIC SEMICONDUCTORS R&D;Industry;;
;The Netherlands;GATE LNG TERMINAL;Energy;;
;The Netherlands;GATE LNG TERMINAL;Energy;;
;Italy;ACEA SETTORE IDRICO ROMA;Water, sewerage;;
;Paraguay;MILLICOM GSM (PARAGUAY);Telecom;;
;Italy;SEA AEROPORTI DI MILANO II;Transport;;
;Czech Republic;CZECH AIRLINES FLEET DEVELOPMENT;Transport;;
;Italy;SVILUPPO INTEGRATO PROVINCIA ROMA II;Urban development;;
;Turkey;ENERJISA HYDROPOWER;Energy;;
;Slovenia;POWER PLANTS INVESTMENT LOAN;Energy;;
;Portugal;BPI GL XV;Credit lines;;
;France;TRAMWAY DE REIMS PPP;Transport;;
;Germany;ABWASSER SAARLAND;Water, sewerage;;
;;ATLANTIC COAST REGIONAL FUND;Services;;
;Germany;MEDICAL TECHNOLOGY RDI;Industry;;
;Germany;COMMERZBANK UMWELT GD II;Credit lines;;
;Germany;COMMERZBANK UMWELT GD II;Credit lines;;
;United Kingdom;ROLLS-ROYCE R&D II;Industry;;
;Portugal;EGF-RESIDUOS SOLIDOS;Solid waste;;
;;ALTERMED;Services;;
;Burkina Faso;AEP OUAGADOUGOU II;Water, sewerage;;
;Spain;AUTOVIAS RENOVACION PPP;Transport;;
;Sweden;ERICSSON FULL SERVICE BROADBAND RDI;Industry;;
;Germany;SOLARWAFER SACHSEN II (SFF);Industry;;
;Poland;WARSAW-GDYNIA RAIL REHABILITATION TEN;Transport;;
;Italy;SEA AEROPORTI DI MILANO II;Transport;;
;Poland;SCIENCE DEVELOPMENT II;Education;;
;Bosnia and Herzegovina;UNICREDIT BANK BANJA LUKA GL;Credit lines;;
;Poland;CONTAINERBOARD MACHINE IN SWIECIE;Industry;;
;Portugal;ESPIRITO SANTO INFRASTRUCTURE FUND- I;Energy;;
;Lithuania;HANSAPANK MIDCAP II;Credit lines;;
;Latvia;HANSAPANK MIDCAP II;Credit lines;;
;Estonia;HANSAPANK MIDCAP II;Credit lines;;
;Italy;SMAT SETTORE IDRICO TORINO II;Water, sewerage;;
;Estonia;TALLINK ROPAX;Transport;;
;France;PG CAISSE D EPARGNE PETITE ENTREPRISE;Credit lines;;
;United Kingdom;CLOSE BROTHERS SME GL V;Credit lines;;
;Spain;AUTOVIAS RENOVACION PPP;Transport;;
;;AFRICAN LION MINING FUND III;Industry;;
;The Netherlands;GASUNIE TRANSMISSION GRID UPGRADE-TEN;Energy;;
;Czech Republic;VOLKSBANK GL IV CZ;Credit lines;;
;Morocco;PORT DE TANGER-MED - DEUXIEME TERMINAL;Transport;;
;Ethiopia;DERBA MIDROC CEMENT COMPANY;Industry;;
;Italy;CNAO CENTRO ONCOLOGICO;Services;;
;Italy;UBI BANCA GROUP SME PG VII;Credit lines;;
;Croatia;HBOR GL II;Credit lines;;
;Italy;ALTO GARDA POWER COGENERATION;Energy;;
;Ireland;DUBLIN AIRPORT DEVELOPMENT - TEN;Transport;;
;Germany;RENTENBANK MICRO GL RENEW ENERGY II;Credit lines;;
;Spain;SAICA VENIZEL;Industry;;
;France;SAICA VENIZEL;Industry;;
;Sweden;GETINGE MEDICAL TECHNOLOGY RDI (RSFF);Industry;;
;France;CC PME PG XII;Credit lines;;
;Italy;CNAO CENTRO ONCOLOGICO;Services;;
;Austria;WIENER WOHNEN STADTTEILSANIERUNG;Urban development;;
;Spain;BANKINTER SME GL II;Credit lines;;
;Denmark;DONG ENERGY WIND POWER;Energy;;
;Denmark;HALDOR TOPSOE RDI;Industry;;
;Denmark;HALDOR TOPSOE RDI;Industry;;
;France;MICHELIN R&D;Industry;;
;Austria;VERBUND STYRIA HV TRANSMISSION TEN;Energy;;
;Spain;ICF EQUIPAMENTS;Health;;
;Spain;ICF EQUIPAMENTS;Education;;
;Turkey;DENIZBANK MUNICIPALITY GLOBAL LOAN;Credit lines;;
;Turkey;DENIZBANK MUNICIPALITY GLOBAL LOAN;Credit lines;;
;Spain;ICF SME GL IX;Credit lines;;
;Spain;FIRA 2000 II;Urban development;;
;Germany;AUTOMOTIVE ENGINE & TRANSMISSION RDI;Industry;;
;France;GROUPE ARKEA PME LIGNE DE CREDIT VI;Credit lines;;
;United Kingdom;JOHNSON MATTHEY R&D II;Industry;;
;Spain;FEVE IV;Transport;;
;Austria;INNOVATIVE POWER SEMICONDUCTORS;Industry;;
;The Netherlands;2ND COEN TUNNEL PPP;Transport;;
;Poland;WHITE GOODS CAPACITY ENHANCEMENT;Industry;;
;Hungary;WHITE GOODS CAPACITY ENHANCEMENT;Industry;;
;Romania;WHITE GOODS CAPACITY ENHANCEMENT;Industry;;
;Sweden;WHITE GOODS CAPACITY ENHANCEMENT;Industry;;
;Madagascar;JIRAMA ANDEKALEKA HYDRO;Energy;;
;Finland;KEMIRA CHEMICALS RDI;Industry;;
;Germany;SOLARWAFER THUERINGEN;Industry;;
;Germany;SOLARWAFER THUERINGEN;Industry;;
;Germany;SOLARWAFER THUERINGEN;Industry;;
;Poland;BGK GLOBAL LOAN II;Credit lines;;
;Italy;ENIA ECO-UTILITY EMILIA ROMAGNA;Water, sewerage;;
;Finland;AKTIA SAVINGS BANK GLOBAL LOAN II;Credit lines;;
;Malawi;MALAWI GLOBAL LOAN III;Credit lines;;
;Slovakia;UNICREDIT LEASING SLOVAKIA GL;Credit lines;;
;Brazil;TIM CELULAR PROJECT;Telecom;;
;Brazil;TIM CELULAR PROJECT;Telecom;;
;Hungary;HUNGARY INNOVATION SUPPORT;Services;;
;Hungary;REGIONAL ACCESSIBILITY CO-FINANCING;Transport;;
;Hungary;HEALTH SECTOR DEVELOPMENT LOAN;Health;;
;France;CONTOURNEMENT DE PARIS A86 II-SECURITE;Transport;;
;Austria;OEBB PRIORITY TEN WESTBAHN;Transport;;
;Finland;VANTAA EDUCATION AND SOCIAL CARE;Education;;
;Finland;VANTAA EDUCATION AND SOCIAL CARE;Services;;
;Finland;VANTAA EDUCATION AND SOCIAL CARE;Health;;
;Croatia;PRIVREDNA BANKA GL II;Credit lines;;
;Portugal;EOLICAS DE PORTUGAL INDUSTRIA;Industry;;
;Portugal;EOLICAS DE PORTUGAL INDUSTRIA;Industry;;
;Germany;HELABA UMWELT II GD;Credit lines;;
;Portugal;IP4 AMARANTE-VILA REAL (PPP);Transport;;
;Portugal;IP4 AMARANTE-VILA REAL (PPP);Transport;;
;Portugal;IP4 AMARANTE-VILA REAL (PPP);Transport;;
;Portugal;IP4 AMARANTE-VILA REAL (PPP);Transport;;
;Portugal;IP4 AMARANTE-VILA REAL (PPP);Transport;;
;Spain;VARIANTE DE TOLEDO;Transport;;
;South Africa;AFFORDABLE AND SOCIAL HOUSING GL;Urban development;;
;Spain;IFCLM GL III;Credit lines;;
;France;CREDIT DU NORD LC PME IV;Credit lines;;
;Italy;AEROPORTI DI ROMA II;Transport;;
;Hungary;PECS -EUROPEAN CAPITAL OF CULTURE 2010;Services;;
;Hungary;PECS -EUROPEAN CAPITAL OF CULTURE 2010;Urban development;;
;France;LE MANS TRANSPORT URBAIN;Transport;;
;France;TER HAUTE NORMANDIE;Transport;;
;Spain;BANCO PASTOR SME GL I;Credit lines;;
;Spain;AUTOVIAS RENOVACION PPP;Transport;;
;Spain;ANDASOL SOLAR THERMAL POWER PROJECT II;Energy;;
;France;HOPITAUX DE MARSEILLE;Health;;
;France;HOPITAUX DE MARSEILLE;Education;;
;Germany;CONTAINERTERMINAL BREMERHAVEN IV;Transport;;
;Hungary;PECS -EUROPEAN CAPITAL OF CULTURE 2010;Services;;
;Hungary;PECS -EUROPEAN CAPITAL OF CULTURE 2010;Urban development;;
;Italy;BANCA DELLE MARCHE SME PG III;Credit lines;;
;Hungary;HIGH SPEED MOBILE NETWORK EXPANSION;Telecom;;
;Greece;E-K-P-P-T MOTORWAY PPP (TEN);Transport;;
;Austria;RZB KMU GLOBALDARLEHEN;Credit lines;;
;France;PROGR RENOVATION URBAINE ET SOCIALE II;Urban development;;
;OCT;OCTS FINANCING FACILITY;Credit lines;;
;Spain;INFRA CASTILLA LA MANCHA VI MARCO;Health;;
;Spain;INFRA CASTILLA LA MANCHA VI MARCO;Services;;
;Spain;INFRA CASTILLA LA MANCHA VI MARCO;Education;;
;Spain;INFRA CASTILLA LA MANCHA VI MARCO;Telecom;;
;Spain;INFRA CASTILLA LA MANCHA VI MARCO;Urban development;;
;Turkey;ENVIRONMENT & ENERGY FRAMEWORK LOAN;Energy;;
;United Kingdom;NORTHUMBRIAN WATER AND WASTEWATER II;Water, sewerage;;
;France;HOPITAUX DE TOURS;Health;;
;France;HOPITAUX DE FRANCE III;Health;;
;Turkey;BURSA LIGHT RAIL TRANSIT SYSTEM II;Transport;;
;South Africa;SAFAL STEEL INVESTMENTS (S & E AFRICA);Services;;
;South Africa;SAFAL STEEL INVESTMENTS (S & E AFRICA);Industry;;
;Italy;SAPEI HIGH VOLTAGE CABLE LINK;Energy;;
;Portugal;PT BANDA LARGA NACIONAL;Telecom;;
;Austria;POWERTRAIN R&D (SFF- RSFF);Industry;;
;Austria;OEVAG GRUPPE - INVESTKREDIT I2I GD;Credit lines;;
;France;AUTOROUTE A88 PPP;Transport;;
;Tunisia;STEG GAZ II;Energy;;
;France;LISI INNOVATION;Industry;;
;Turkey;LISI INNOVATION;Industry;;
;Portugal;CAIXA ECONOMICA MONTEPIO GERAL GL I;Credit lines;;
;Spain;HOSPITALES DE MURCIA SUR;Health;;
;Spain;HOSPITALES DE MURCIA SUR;Health;;
;Bulgaria;SOCGEN EXPRESSBANK GLOBAL LOAN;Credit lines;;
;Bulgaria;SOCGEN EXPRESSBANK GLOBAL LOAN;Credit lines;;
;Bulgaria;RAIFFEISENBANK BULGARIA GL III;Credit lines;;
;Bulgaria;RAIFFEISENBANK BULGARIA GL III;Credit lines;;
;Bulgaria;RAIFFEISENBANK BULGARIA GL III;Credit lines;;
;Hungary;MKB GLOBAL LOAN;Credit lines;;
;Portugal;CUF QUIMICA EXPANSAO;Industry;;
;Poland;MAZOVIA REGIONAL INFRASTRUCTURE;Transport;;
;Italy;GRANDI STAZIONI;Urban development;;
;Italy;TELECOM ITALIA RDI;Telecom;;
;Sweden;SANDVIK RDI;Industry;;
;Turkey;ISTANBUL URBAN TRANSPORT II;Transport;;
;Finland;TECHNOPOLIS SCIENCE PARKS;Services;;
;Spain;AUTOPISTA A1 EIBAR-VITORIA;Transport;;
;Czech Republic;CESKA SPORITELNA GL II;Credit lines;;
;Czech Republic;CZECH AIRLINES FLEET DEVELOPMENT;Transport;;
;United Kingdom;TORFAEN URBAN RENEWAL;Urban development;;
;United Kingdom;TORFAEN URBAN RENEWAL;Urban development;;
;Portugal;CGD GL XIV;Credit lines;;
;Hungary;CIB GL III;Credit lines;;
;Poland;TRUCK AND BUS TYRE PLANT IN POLAND;Industry;;
;The Netherlands;POST 2012 CARBON CREDIT FUND;Energy;;
;Madagascar;JIRAMA WATER II (MADAGASCAR);Water, sewerage;;
;United Kingdom;RAYNERS LANE URBAN REGENERATION;Urban development;;
;United Kingdom;RAYNERS LANE URBAN REGENERATION;Industry;;
;Belgium;SPGE WASTE WATER III;Water, sewerage;;
;Italy;CREDITO VALTELLINESE SME PG II;Credit lines;;
;Czech Republic;CZECH AIRLINES FLEET DEVELOPMENT;Transport;;
;Spain;SANTANDER CENTRAL HISPANO SME GL I;Credit lines;;
;France;AUTOROUTE A 19 (TEN/SFF);Transport;;
;Spain;AUTOVIAS DE EXTREMADURA;Transport;;
;Italy;BANCA POPOLARE DI VICENZA SME GL;Credit lines;;
;Turkey;ISTANBUL EARTHQUAKE RISK MITIGATION;Urban development;;
;United Kingdom;FACILITY FOR EDUCATION (N IRELAND) PPP;Education;;
;France;HOPITAUX DE TOURS;Health;;
;United Kingdom;GRAIN LNG TERMINAL PHASE III (TEN);Energy;;
;Germany;SOLAR ROOFS - ALTERNATIVE ENERGY;Energy;;
;Germany;SOLAR ROOFS - ALTERNATIVE ENERGY;Energy;;
;Germany;SOLAR ROOFS - ALTERNATIVE ENERGY;Energy;;
;Germany;SOLAR ROOFS - ALTERNATIVE ENERGY;Energy;;
;Spain;SOLAR ROOFS - ALTERNATIVE ENERGY;Energy;;
;Spain;SOLAR ROOFS - ALTERNATIVE ENERGY;Energy;;
;Spain;SOLAR ROOFS - ALTERNATIVE ENERGY;Energy;;
;Spain;SOLAR ROOFS - ALTERNATIVE ENERGY;Energy;;
;Austria;VERBUND PSP LIMBERG II;Energy;;
;Turkey;TOFAS NEW VEHICLE DEVELOPMENT;Industry;;
;Turkey;TOFAS NEW VEHICLE DEVELOPMENT;Industry;;
;Mexico;BANCOMEXT ENVIRONMENTAL SUSTAINABILITY;Credit lines;;
;Italy;CREDEM SME PG VI;Credit lines;;
;Slovakia;UNICREDIT BANK MID CAP;Credit lines;;
;Spain;ADE GL;Credit lines;;
;Spain;SASEMAR - NATURAL DISASTER PREVENTION;Transport;;
;Germany;KFW IPEX RISK SHARING FACILITY (RSFF);Services;;
;Germany;COMMERZBANK UMWELT GD II;Credit lines;;
;Germany;COMMERZBANK UMWELT GD II;Credit lines;;
;Germany;COMMERZBANK UMWELT GD II;Credit lines;;
;Germany;KFW IPEX PPP FRAMEWORK;Composite infrastructure;;
;Spain;EUFER WIND ENERGY;Energy;;
;Spain;SOLUCAR SOLAR THERMAL POWER;Energy;;
;Spain;SOLUCAR SOLAR THERMAL POWER;Energy;;
;Spain;SOLUCAR SOLAR THERMAL POWER;Energy;;
;Spain;SOLUCAR SOLAR THERMAL POWER;Energy;;
;Spain;SOLUCAR SOLAR THERMAL POWER;Energy;;
;Spain;SOLUCAR SOLAR THERMAL POWER;Energy;;
;Italy;MEDIOBANCA GL SME;Credit lines;;
;Spain;AENA VII ALICANTE & MALAGA;Transport;;
;Spain;AVE MADRID VALLADOLID 2;Transport;;
;Spain;RENFE OPERADORA ROLLING STOCK II;Transport;;
;Portugal;AUTOEUROPA RDI;Industry;;
;Germany;AUTOEUROPA RDI;Industry;;
;Italy;ITALIA MIDCAP II;Credit lines;;
;Bulgaria;BULGARIA TELECOM DEVELOPMENT (SFF);Telecom;;
;Bulgaria;BULGARIA TELECOM DEVELOPMENT (SFF);Telecom;;
;Germany;COMMERZBANK I2I GL III;Credit lines;;
;Germany;DZ BANK SME GL I;Credit lines;;
;United Kingdom;SANOFI AVENTIS R&D;Services;;
;Germany;SANOFI AVENTIS R&D;Services;;
;Spain;SANOFI AVENTIS R&D;Services;;
;France;SANOFI AVENTIS R&D;Services;;
;Italy;SANOFI AVENTIS R&D;Services;;
;Germany;KFW SME MEZZANINE FACILITY;Credit lines;;
;The Netherlands;TENNET HIGH VOLTAGE NETWORK II;Energy;;
;Spain;CAJA DE CATALUNA SME GL I;Credit lines;;
;Spain;METRO DE MADRID IV - ROLLING STOCK;Transport;;
;Spain;IFA GL IV;Credit lines;;
;Austria;MODERNISIERUNG ZELLSTOFFFABRIK POELS;Industry;;
;Bosnia and Herzegovina;UPI BANKA GL;Credit lines;;
;Germany;POWER PLANT KARLSRUHE;Energy;;
;Germany;HAMBURG WASTEWATER;Water, sewerage;;
;Sweden;SANDVIK RDI;Industry;;
;France;HOPITAUX DE NANTES;Health;;
;France;HOPITAUX DE NANTES;Education;;
;Poland;RLPL MICRO ENTERPRISES ABS GL;Credit lines;;
;Spain;TELEFONICA MOBILE TELEPHONY II;Telecom;;
;Turkey;FORTIS BANK FORTIS LEASE SME GL;Credit lines;;
;Germany;MOBILE BREITBANDTECHNOLOGIE UPGRADE;Telecom;;
;Spain;AVE MADRID VALLADOLID;Transport;;
;Portugal;DOURO LITORAL PPP (IC 24);Transport;;
;Spain;AENA VII ALICANTE & MALAGA;Transport;;
;Spain;SANEAMIENTO CA VALENCIANA IV;Water, sewerage;;
;The Netherlands;ROTTERDAM PORT SECOND MAASVLAKTE-TEN;Transport;;
;Slovakia;BRATISLAVA REGIONAL INFRASTRUCTURE;Urban development;;
;Austria;RZB INFRA, UMWELT UND F&E GL;Credit lines;;
;United Kingdom;DUMFRIES & GALLOWAY SCHOOLS PPP;Education;;
;Portugal;EDP CICLO COMBINADO LARES;Energy;;
;Germany;COMMERZBANK I2I GL III;Credit lines;;
;Spain;TRANVIA DE ALICANTE - LINEA 2;Transport;;
;Germany;HELABA - LTH I2I GD;Credit lines;;
;Nigeria;INTERCONTINENTAL BANK;Services;;
;Portugal;PORTUCEL AMBIENTE;Industry;;
;Spain;ANDASOL SOLAR THERMAL POWER PROJECT;Energy;;
;Spain;ANDASOL SOLAR THERMAL POWER PROJECT II;Energy;;
;Morocco;ONE - PROJETS HYDROELECTRIQUES II;Energy;;
;Lebanon;PRIVATE SECTOR FACILITIES;Credit lines;;
;Lebanon;PRIVATE SECTOR FACILITIES;Credit lines;;
;Portugal;EDP CICLO COMBINADO LARES;Energy;;
;Poland;SCIENCE DEVELOPMENT;Education;;
;Jordan;HBTF GLOBAL LOAN;Credit lines;;
;Poland;AROMATICS PLANT POLAND;Industry;;
;Panama;PANAMA CITY AND BAY SANITATION PROJECT;Water, sewerage;;
;Trinidad and Tobago;CLICO GLOBAL LOAN;Credit lines;;
;Lebanon;PRIVATE SECTOR FACILITIES;Credit lines;;
;Lebanon;PRIVATE SECTOR FACILITIES;Credit lines;;
;Greece;EMPORIKI INFRASTRUCTURE GLOBAL LOAN;Credit lines;;
;France;AVENIR ENTREPRISES MEZZANINE;Credit lines;;
;France;OSEO PROGRAMME CREATION ENTREPRISES II;Credit lines;;
;Denmark;NOVOZYMES ENZYMES RDI;Industry;;
;Finland;FINNISH HEALTH AND EDUCATION;Health;;
;Finland;FINNISH HEALTH AND EDUCATION;Education;;
;Greece;HELLENIC NATURAL GAS IV;Energy;;
;Greece;PPC POWER GENERATION II;Energy;;
;Lebanon;PRIVATE SECTOR FACILITIES;Credit lines;;
;Latvia;DNB NORD BANKA GL IV;Credit lines;;
;United Kingdom;LONDON OVERGROUND ROLLING STOCK;Transport;;
;France;AMELIORATION AUTOROUTIERE SUD FRANCE;Transport;;
;Lithuania;SEB VILNIAUS BANKAS MID-CAP;Credit lines;;
;Greece;PPC ENVIRONMENT;Energy;;
;Italy;COMPETITIVITA REGIONE MARCHE 2007-2013;Composite infrastructure;;
;Tunisia;ENDA INTER ARABE;Services;;
;Finland;FINNISH HEALTH AND EDUCATION;Education;;
;Finland;FINNISH HEALTH AND EDUCATION;Health;;
;Denmark;FLSMIDTH RDI;Industry;;
;Algeria;ALGERIAN FRUIT JUICE COMPANY;Industry;;
;Tunisia;PG ENTREPRISES TUNISIENNES V;Credit lines;;
;Portugal;SCUT ACORES (PPP);Transport;;
;Hungary;COHESION FUND FRAMEWORK LOAN;Transport;;
;Hungary;COHESION FUND FRAMEWORK LOAN;Water, sewerage;;
;Uganda;BUJAGALI HYDROELECTRIC PROJECT;Energy;;
;Italy;CDP FRAMEWORK LOAN;Composite infrastructure;;
;Turkey;ISTANBUL-ANKARA RAILWAY;Transport;;
;Hungary;EDUCATION CO-FINANCING FACILITY (HU);Education;;
;Bulgaria;BULGARIA EU FUNDS COFINANCING 2007-13;Transport;;
;Bulgaria;BULGARIA EU FUNDS COFINANCING 2007-13;Solid waste;;
;Bulgaria;BULGARIA EU FUNDS COFINANCING 2007-13;Water, sewerage;;
;Poland;MILLENNIUM LEASING GLOBAL LOAN ABS;Credit lines;;
;Hungary;DEBRECEN UNIVERSITY;Education;;
;Germany;DEUTSCHE KREDITBANK UMWELT GD;Credit lines;;
;Czech Republic;CTP INDUSTRIAL AND BUSINESS PARKS;Industry;;
;Czech Republic;CTP INDUSTRIAL AND BUSINESS PARKS;Services;;
;Czech Republic;S&CF TRANSPORT FRAMEWORK FACILITY;Transport;;
;;ALTERMED;Services;;
;Belgium;WALLOON SOCIAL HOUSING REHAB. I;Urban development;;
;France;SANOFI AVENTIS R&D;Services;;
;Germany;RENTENBANK MICRO GL RENEWABLE ENERGY;Credit lines;;
;Benin;SONEB-ALIMENTATION EN EAU URBAINE;Water, sewerage;;
;Italy;BANCA POPOLARE DI SONDRIO PG III;Credit lines;;
;Germany;ADVANCED COAL-POWER PLANT DU-WALSUM;Energy;;
;Germany;INFRASTRUKTUR NORD D GL III;Credit lines;;
;Italy;METROPOLITANA DI ROMA - LINEA C;Transport;;
;;ECOBANK REGIONAL FACILITY;Services;;
;Italy;BPU BANCA SME PG VI;Credit lines;;
;;CAPITAL FINANCIAL HOLDING;Services;;
;Hungary;MFB INFRASTRUCTURE AND FLOOD RELIEF GL;Credit lines;;
;United Kingdom;ABF BIOFUEL PRODUCTION;Industry;;
;Portugal;ADP - AGUAS DE PORTUGAL III;Water, sewerage;;
;;FUND FOR THE MEDITERRANEAN REGION;Services;;
;Spain;BANKINTER SME GL I;Credit lines;;
;French Polynesia;SOCREDO LIGNE DE CREDIT ENVIRONNEMENT;Credit lines;;
;Germany;SACHSEN-ANHALT UMWELT & KMU GL;Credit lines;;
;Germany;AUTOMOTIVE SUPPLIER RDI FACILITY (SFF);Credit lines;;
;Kenya;PRIVATE ENTERPRISE FINANCE FACILITY;Credit lines;;
;Uruguay;MONTEVIDEO CONTAINER TERMINAL;Transport;;
;Uruguay;MONTEVIDEO CONTAINER TERMINAL;Transport;;
;Uruguay;MONTEVIDEO CONTAINER TERMINAL;Transport;;
;Turkey;FINANSBANK GLOBAL LOAN;Credit lines;;
;United Kingdom;A1 AND A4 UPGRADE PPP;Transport;;
;Turkey;AKBANK GLOBAL LOAN;Credit lines;;
;Czech Republic;SG EQUIPMENT FINANCE CZ GLOBAL LOAN;Credit lines;;
;Slovakia;SG EQUIPMENT FINANCE CZ GLOBAL LOAN;Credit lines;;
;Syrian Arab Republic;SME FUND II;Credit lines;;
;Egypt;EL ATF AND SIDI KRIR POWER PLANTS;Energy;;
;Czech Republic;SGEF CZ SME MID-CAP GL II;Credit lines;;
;Slovakia;SGEF CZ SME MID-CAP GL II;Credit lines;;
;Italy;SORIN TECNOLOGIE MEDICALI R&D;Industry;;
;Spain;EUFER WIND ENERGY;Energy;;
;Spain;EUFER WIND ENERGY;Energy;;
;Spain;EUFER WIND ENERGY;Energy;;
;Sweden;VOLVO TRUCKS RDI;Industry;;
;Greece;ATHENS MUNICIPAL INFRASTRUCTURE;Urban development;;
;France;SOCGEN LIGNE DE CREDIT PME IX;Credit lines;;
;Spain;TELEFONICA MOBILE TELEPHONY II;Telecom;;
;Czech Republic;VOLKSBANK CZECH REPUBLIC GL III;Credit lines;;
;Italy;TELECOM ITALIA RDI;Telecom;;
;Slovenia;UNICREDIT BANKA SLOVENIJA GL III;Credit lines;;
;Slovenia;NOVA LJUBLJANSKA BANKA GL III;Credit lines;;
;France;LGV RHIN-RHONE (TEN-T);Transport;;
;Malta;WSC WATER SECTOR;Water, sewerage;;
;Bosnia and Herzegovina;EUROPEAN FUND FOR SOUTHEAST EUROPE;Services;;
;Bulgaria;EUROPEAN FUND FOR SOUTHEAST EUROPE;Services;;
;Romania;EUROPEAN FUND FOR SOUTHEAST EUROPE;Services;;
;Albania;EUROPEAN FUND FOR SOUTHEAST EUROPE;Services;;
;Serbia;EUROPEAN FUND FOR SOUTHEAST EUROPE;Services;;
;Montenegro;EUROPEAN FUND FOR SOUTHEAST EUROPE;Services;;
;North Macedonia;EUROPEAN FUND FOR SOUTHEAST EUROPE;Services;;
;Germany;SACHSEN-ANHALT GESUNDHEITSFUERSORGE II;Health;;
;Germany;TI BREITBAND INFRASTRUKTUR II;Telecom;;
;Lebanon;SME RECONSTRUCTION FACILITY;Credit lines;;
;Germany;ADVANCED COAL-POWER PLANT DU-WALSUM;Energy;;
;Germany;ADVANCED COAL-POWER PLANT DU-WALSUM;Energy;;
;Germany;ADVANCED COAL-POWER PLANT DU-WALSUM;Energy;;
;Germany;ADVANCED COAL-POWER PLANT DU-WALSUM;Energy;;
;Ireland;LOCAL AUTHORITY FRAMEWORK LOAN II;Urban development;;
;Senegal;PROGRAMME EAU SENEGAL;Water, sewerage;;
;New Caledonia;BCI - LIGNE DE CREDIT ENVIRONNEMENTAL;Credit lines;;
;Germany;NRW BANK UMWELT GL;Credit lines;;
;Portugal;CGD MIDCAP I;Credit lines;;
;China;CHINA CLIMATE CHANGE FRAMEWORK LOAN;Energy;;
;Spain;RENFE OPERADORA ROLLING STOCK II;Transport;;
;Tunisia;TRANSMED PIPELINE EXPANSION;Energy;;
;Italy;ENIPOWER COGENERAZIONE FERRARA;Energy;;
;Germany;ADVANCED COAL-POWER PLANT DU-WALSUM;Energy;;
;Germany;ADVANCED COAL-POWER PLANT DU-WALSUM;Energy;;
;Germany;INVESTITIONSBANK SCHLESWIG-HOLSTEIN GL;Credit lines;;
;Spain;CARRETERAS DE CASTILLA Y LEON III;Transport;;
;Italy;INTESA SANPAOLO ENVIRONMENT PG;Credit lines;;
;Romania;BRD-GROUPE SOCIETE GENERALE GL III;Credit lines;;
;Spain;METRO DE MADRID IV - ROLLING STOCK;Transport;;
;Morocco;CAPMEZZANINE MAROC;Services;;
;Spain;SASEMAR - NATURAL DISASTER PREVENTION;Transport;;
;Italy;AMBIENTE URBANO VENEZIA II;Urban development;;
;Italy;AMBIENTE URBANO VENEZIA II;Urban development;;
;Italy;AMBIENTE URBANO VENEZIA II;Urban development;;
;France;BNP PARIBAS LIGNE DE CREDIT PME VII;Credit lines;;
;Germany;MYLLYKOSKI UMWELT UND FE&I;Industry;;
;Germany;ADVANCED COAL-POWER PLANT DU-WALSUM;Energy;;
;The Netherlands;TENNET HIGH VOLTAGE NETWORK II;Energy;;
;Portugal;EDA POWER VII;Energy;;
;Poland;EUROPEJSKI FUNDUSZ LEASINGOWY GL;Credit lines;;
;Germany;THERMISCHE ABFALLBEHANDLUNG SUHL;Solid waste;;
;Germany;THERMISCHE ABFALLBEHANDLUNG SUHL;Energy;;
;Germany;STADTENTWICKLUNG SACHSEN;Urban development;;
;Germany;STADTENTWICKLUNG SACHSEN;Urban development;;
;Germany;WIRTSCHAFTSFOERDERUNG BRANDENBURG;Services;;
;Turkey;GARANTI LEASING SME GLOBAL LOAN;Credit lines;;
;Spain;ANDALUCIA VIVIENDA;Urban development;;
;Czech Republic;CMZRB SME GLOBAL LOAN;Credit lines;;
;Spain;ICF SME GL VIII;Credit lines;;
;Spain;GISA INFRAESTRUCTURA DE CATALUNA III;Transport;;
;Spain;GISA CARRETERAS;Transport;;
;Spain;FIRA 2000 II;Urban development;;
;Spain;GISA INFRAESTRUCTURA DE CATALUÑA IV;Transport;;
;Austria;INNOVATIVE POWER SEMICONDUCTORS;Industry;;
;Germany;ADVANCED COAL-POWER PLANT DU-WALSUM;Energy;;
;Greece;CENTRAL - EAST EGNATIA MOTORWAY;Transport;;
;Italy;INTESA LEASING ENERGIA RINNOVABILE;Energy;;
;Greece;WEST EGNATIA - PANAGIA-GREVENA (TEN);Transport;;
;Albania;LEVAN - VLORE ROAD;Transport;;
;Finland;WARTSILA RDI;Industry;;
;Italy;BANCA AGRILEASING SME PG;Credit lines;;
;Germany;COMMERZBANK I2I GL III;Credit lines;;
;Germany;COMMERZBANK I2I GL III;Credit lines;;
;Germany;COMMERZBANK I2I GL III;Credit lines;;
;Belgium;SPGE WASTE WATER III;Water, sewerage;;
;Poland;BANK BPH GLOBAL LOAN II;Credit lines;;
;Germany;STUDIENDARLEHEN HESSEN;Education;;
;Poland;BANK BPH MID-CAP LOAN;Credit lines;;
