id;Country;Name;Sector;;
;The Netherlands;TERGOOI HILVERSUM HOSPITAL DEVELOPMENT;Health;;
;Poland;SGEL PL LOAN FOR SMES AND MIDCAPS;Credit lines;;
;Jordan;JORDAN WATER SECTOR FRAMEWORK LOAN;Water, sewerage;;
;Spain;ANIMAL NUTRITION CAPACITY EXPANSION;Industry;;
;France;BOURGOGNE-FRANCHE-COMTE MATERIEL ROULANT;Transport;;
;Morocco;AUTOMOTIVE GLASS MANUFACTURING MOROCCO;Industry;;
;Greece;GREECE ROAD REHABILITATION & SAFETY PROJECT;Transport;;
;Greece;GREECE COVID-19 RESPONSE FOR SMES & MIDCAPS;Credit lines;;
;Italy;BNL COVID19 LOAN FOR SMES & MIDCAPS;Credit lines;;
;Bulgaria;PROCREDIT EU SMES MIDCAPS & CA MBIL II;Credit lines;;
;Romania;PROCREDIT EU SMES MIDCAPS & CA MBIL II;Credit lines;;
;Mozambique;MOZAMBIQUE CLIMATE RESILIENT FL;Water, sewerage;;
;;EIFFEL ENERGY TRANSITION COVID-19 TOP-UP;Energy;;
;;EIFFEL ENERGY TRANSITION COVID-19 TOP-UP;Energy;;
;Italy;SUSTAINABLE SECURITIES FUND;Energy;;
;Spain;AVE MADRID EXTREMADURA;Transport;;
;Poland;MALOPOLSKA REGIONAL INFRASTRUCTURE II;Composite infrastructure;;
;Austria;HYPO VORARLBERG COVID-19 ENHANCED SUPPORT FOR EE;Industry;;
;Saint Lucia;ST LUCIA DEVELOPMENT BANK MSMES COVID-19;Credit lines;;
;Italy;SUSTAINABLE SECURITIES FUND;Industry;;
;Italy;SUSTAINABLE SECURITIES FUND;Energy;;
;Italy;SUSTAINABLE SECURITIES FUND;Industry;;
;Poland;MALOPOLSKA REGIONAL INFRASTRUCTURE II;Transport;;
;Poland;POZNAN MUNICIPAL INVESTMENTS & COVID-19 RESPONSE;Health;;
;Poland;POZNAN MUNICIPAL INVESTMENTS & COVID-19 RESPONSE;Services;;
;Czech Republic;CEPS TRANSMISSION GRID III;Energy;;
;Sweden;GOTHENBURG CLEAN URBAN TRANSPORT;Transport;;
;The Netherlands;VRIJE UNIVERSITEIT AMSTERDAM PHASE 2;Education;;
;Poland;POZNAN MUNICIPAL INVESTMENTS & COVID-19 RESPONSE;Transport;;
;Croatia;HBOR LOAN FOR SMES II;Credit lines;;
;France;ENGIE SOLUTIONS DHC NETWORKS;Energy;;
;Italy;REGIONE LAZIO EU BLENDING PROGRAMME;Urban development;;
;Austria;RLBNW RENEWABLE ENERGY MBIL;Credit lines;;
;Italy;REGIONE LAZIO EU BLENDING PROGRAMME;Credit lines;;
;Serbia;CONNECTED SCHOOLS IN SERBIA;Education;;
;Hungary;EXIMBANK HU COVID-19 RESPONSE FOR SMES & MIDCAPS;Credit lines;;
;France;ENEDIS ADVANCED METERING;Energy;;
;Palestine*;PALESTINE PRIVATE SECTOR COVID-19 RESPONSE;Credit lines;;
;Poland;WARSAW SUSTAINABLE DEVELOPMENT;Urban development;;
;Germany;VIVAWEST ENERGY EFFICIENT QUARTER;Services;;
;Spain;FMB METRO ROLLING STOCK;Transport;;
;Belgium;ZNA - ZIEKENHUISNETWERK ANTWERPEN;Health;;
;Poland;CZESTOCHOWA URBAN INFRASTRUCTURE III;Urban development;;
;France;ILIAD 5G NETWORK DEPLOYMENT FRANCE;Telecom;;
;Poland;CZESTOCHOWA URBAN INFRASTRUCTURE III;Transport;;
;Italy;BANCA DEL MEZZOGIORNO COVID19 L4SMES & MIDCAPS;Credit lines;;
;Chad;ATI MEMBERSHIP CONTRIBUTION CHAD;Services;;
;Spain;GMP ENERGY EFFICIENT BUILDINGS;Services;;
;Romania;CLUJ-SALAJ REGIONAL WATER;Water, sewerage;;
;Senegal;ATI MEMBERSHIP CONTRIBUTION SENEGAL;Services;;
;Italy;EPTA GROUP MACHINERY AND RDI;Industry;;
;Portugal;IFD COVID19 LOAN FOR SMES & MIDCAPS;Credit lines;;
;Belgium;CHWAPI TOURNAI HOSPITAL (BELGIUM);Health;;
;France;BPCE COVID19 RESPONSE LOAN FOR SMES AND MIDCAPS;Credit lines;;
;Portugal;BIZAY (EGFF);Services;;
;Germany;KINEXON (EGFF);Telecom;;
;Germany;KINEXON (EGFF);Telecom;;
;;TILT CAPITAL FUND I;Energy;;
;Portugal;BIZAY (EGFF);Services;;
;;TILT CAPITAL FUND I;Energy;;
;Italy;RFI HIGH SPEED RAIL NAPOLI-BARI;Transport;;
;Germany;SOCIAL AND AFFORDABLE HOUSING STUTTGART;Urban development;;
